,text,date
53,"Финский производитель упаковки Huhtamaki подтвердил продажу российских активов компании Espetina. Ее совладельцем является Александр Говор, который в июне выкупил рестораны сети McDonald's и перезапустил их под брендом «Вкусно — и точка». Сумма сделки составила €151 млн без учета долга и денежных средств на балансе.",2022-09-06 18:03:17
54,"«Умными весами» уже никого не удивить. Многие привыкли отслеживать процентное соотношение мышц и жира в теле, количество воды и вес костей. Компания Withings расширила этот список, представив весы, которые оценивают здоровье нервов и артерий.",2022-09-06 10:56:53
55,"Toyota инвестирует $5,6 млрд в производство аккумуляторов для электромобилей в Японии и США, чтобы удовлетворить растущий спрос. При этом компания по-прежнему считает, что «зеленое» будущее за гибридными и водородными автомобилями. Однако спрос формирует предложение.",2022-09-05 16:38:26
56,"Владелец OnlyFans Леонид Радвинский заработал за последние два года $500 млн. Платформа сильно выросла во время пандемии и снижать показатели не собирается. За прошлый год подписчики потратили на OnlyFans $4,8 млрд, а выручка сервиса увеличилась в семь раз.",2022-09-05 10:53:14
57,"Twitter запускает долгожданную функцию редактирования постов. Но обычным пользователям, вероятно, не скоро посчастливится ею воспользоваться. В конце сентября функция станет доступна некоторым подписчикам Twitter Blue, которые платят $4,99 в месяц. Затем ее расширят на большее количество пользователей, но по-прежнему только платных. Вспомним, что в 2020 году Джек Дорси называл запуск редактирования твитов маловероятным.",2022-09-04 13:08:15
58,"Корпорации все пытаются влезть в головы пользователей. Иногда буквально. Meta (признана экстремистской в РФ) разработала ИИ-модель, которая умеет преобразовывать мозговые волны в речь. По задумке, этот инструмент можно будет использовать для мысленного общения, произнося слова и фразы у себя в голове",2022-09-03 20:10:57
59,"Одному из крупнейших в мире разработчиков графических процессоров и систем на чипе Nvidia запретили ввозить в Россию и Китай полупроводники для машинного обучения. Правительство США опасается, что эта продукция может быть использована или перенаправлена в «военное конечное использование» или «военному конечному пользователю» в Китае и России.",2022-09-03 11:02:26
60,"В мае прошлого года сотрудник Crypto com перепутал поле для введения номера счета с полем оплаты и перевел клиентке $7,2 млн вместо возврата $68. Ошибка обнаружилась только спустя семь месяцев во время проведения аудита. Этого времени клиентке хватило, чтобы купить особняк с пятью спальнями в пригороде Мельбурна.",2022-09-02 17:33:17
61,"Французские налоговики нашли способ найти всех, кто скрывается от них. Помогает им в этом искусственный интеллект (а кто же еще?). Налоговая служба с помощью ИИ обнаружила 20 356 незадекларированных частных бассейнов. В результате владельцы получили счета на общую сумму около €10 млн.",2022-09-02 14:56:32
62,Только 20% россиян не заметили ухудшения финансового состояния после начала «военной спецоперации». У трети опрошенных расходы на повседневные нужды с февраля возросли до 30%.,2022-09-02 11:41:33
63,"Узбекистан стал четвертой страной, в которой откроется ресторан российской сети ресторанов «Тануки». Заведение заработает в начале сентября. В его запуск основатель «Тануки» Александр Орлов инвестировал около 100 млн руб. Эти деньги пошли на ремонт, покупку кухонного оборудования, аренду, зарплаты и закупку продуктов на первое время работы.",2022-09-01 22:16:51
64,"«Даркстор у дома» закрыл свой первый раунд. Сумма сделки не раскрывается, оценка компании превысила $1,2 млн. Клиенты «Даркстора у дома» могут арендовать склад от одной полки и напрямую интегрировать собственную систему управления складом с сайтом или приложением по API. Доставка осуществляется за 30-60 минут.",2022-09-01 11:59:22
65,"CEO Tesla и SpaceX Илон Маск нашел еще одну причину отказаться от сделки с Twitter — заявления экс-главы службы безопасности соцсети Пейтера Затко. На прошлой неделе Затко сообщил СМИ, что у компании нет возможности посчитать количество ботов, а руководство получает премии за рост числа пользователей.",2022-08-31 16:55:32
66,"Wildberries продолжает заключать контракты с российскими футбольными командами. Год назад компания стала премиальным спонсором ЦСКА, месяц назад — «Спартака», а теперь и «Зенита». Wildberries будет поставлять игрокам спортивную экипировку.",2022-08-31 12:51:48
67,Мошенники сосредоточились на уходе западных брендов и начали маскироваться под их сайты. Количество таких порталов увеличилось на 579% по сравнению с первым полугодием 2021-го. Самые частые схемы обмана: покупка товаров ушедших брендов или предложение оплатить недоступные в России сервисы.,2022-08-30 18:50:51
68,"Telegram провел «чистку». Администраторы мессенджера удалили пользователей и каналы, которые не были активными в течение года. По словам основателя Telegram Павла Дурова, «мертвые каналы» засоряли выдачу.",2022-08-30 15:55:14
69,Более половины компаний-единорогов США основаны выходцами из других стран. Самой дорогой в рейтинге некоммерческой организации NFAP стала SpaceX Илона Маска. В топ-10 попали и два стартапа с российскими основателями.,2022-08-30 12:00:34
70,"Bloomberg выяснил, что Apple подала заявки на регистрацию трех товарных знаков. Их будут использовать для гаджетов виртуальной и дополненной реальности. Представить собственную VR/AR-гарнитуру компания планирует в 2023 году.
 
Если схему параллельного импорта продлят и Минпромторг включит новый гаджет в список техники, которую можно ввозить без разрешения правообладателя, гарнитуру смогут оценить и россияне.",2022-08-29 22:10:01
71,"Ретейлеры обратились к Минпромторгу с просьбой продлить действие параллельного импорта на 2023 год. Бизнес уверен, что без этой схемы потребители столкнутся с дефицитом товаров массового спроса. Кроме этого, параллельный импорт защищает покупателей от контрафакта, который в случае отмены будут продавать по высокой цене, считают эксперты.",2022-08-29 17:08:37
72,Шведский производитель телеком-оборудования Ericsson решил полностью уйти с российского рынка. До конца года компания закроет местное представительство и уволит всех сотрудников. Им пообещали «финансовую и социальную» поддержку. Доля Ericsson на российском рынке составляет около 20%.,2022-08-29 13:18:49
73,"Соцсеть Instagram (принадлежит Meta, признанной экстремистской в РФ) расширила функционал QR-кодов. Теперь с их помощью можно обмениваться не только профилями пользователей, но и постами и Reels.",2022-08-28 18:58:59
74,"Франция и Германия не готовы поддержать визовый запрет для россиян. По данным  агентства Bloomberg, страны выступят против ограничений на встрече министров иностранных дел ЕС. Она пройдет в Праге на следующей неделе.",2022-08-28 16:28:45
75,"Сооснователь Twitter Джек Дорси заявил, что его главным сожалением по поводу соцсети является ее превращение в компанию. Он объяснил, в каком ключе стоило развивать платформу.",2022-08-27 19:57:21
76,"Mercedes-Benz планирует продать подмосковный завод в Есипово. По данным источников «Коммерсанта», площадка уже выставлена на продажу. Другой собеседник отметил, что сделка близка к завершению, но у Mercedes есть «проблемы с документами». В качестве вероятного покупателя упоминается российский дилер «Автодом».",2022-08-26 14:48:43
77,"Один из первых международных банков, вышедших на российский рынок, покидает его. Об уходе из России объявил «Ситибанк».

Citigroup пыталась продать «Ситибанк» еще в 2021 году, но сделать этого не удалось из-за ограничений против инвесторов из «недружественных стран». Теперь под сокращение попадут порядка 2,3 тыс. сотрудников и 15 филиалов банка.",2022-08-26 10:11:39
78,"Бренды «Вкусно — и точка», Stars Coffee и «Пицца-н» не критиковал только ленивый: профессиональное сообщество гадает, что пошло не так у коллег-дизайнеров, а пользователи генерируют ядовитые мемы, которые, кажется, не иссякнут никогда.

Как ребрендинг McDonald’s, Starbucks и Pizza Hut возвращает нас в 90-е и почему у авторов «новых русских брендов» получилось так, как получилось — разбирался Inc.",2022-08-25 17:10:58
79,"ИИ-стартап Inworld AI с русскими корнями привлек $50 млн. Компания помогает разрабатывать виртуальных персонажей для видеоигр и метавселенной под управлением искусственного интеллекта. Основатели стартапа считают, это помогает усилить погружение игроков в процесс.",2022-08-25 14:56:35
80,"Разработчик ПО для улучшения бизнес-процессов Celonis привлек рекордные инвестиции в $1 млрд при оценке в $13 млрд. Самая дорогая частная компания Германии планирует потратить их на разработку продукта, привлечение клиентов и общее расширение рынка.",2022-08-24 22:26:54
81,"Instagram (принадлежит Meta, признанной экстремистской в РФ) продолжает «коллекционировать» функционал других соцсетей. Сервис почти полностью скопировал платформу BeReal. Набравшая в июле популярность соцсеть рассылает пользователям уведомления и предлагает в течение двух минут сделать и опубликовать снимок. Сервис побуждает делиться естественными снимками, а не тщательно подготовленным контентом.",2022-08-24 14:28:52
